DecYear,Lat,BGFlx
"2010.1059"," 21.69","3.96e-07"
"2010.1059"," 22.40","2.85e-07"
"2010.1059"," 21.95","3.19e-06"
"2010.1061"," 21.36","3.23e-07"
"2010.1061"," 23.06","2.06e-07"
"2010.1061"," 22.87","3.76e-07"
"2010.1063"," 22.11","2.20e-06"
"2010.1066"," 22.08","1.10e-06"
"2010.1067"," 22.24","2.62e-07"
"2010.1067"," 22.88","3.55e-07"
"2010.1069"," 22.11","2.44e-07"
"2010.1069"," 22.21","8.95e-08"
"2010.1070"," 21.81","2.46e-06"
"2010.1071"," 22.67","1.42e-07"
"2010.1073"," 21.91","1.64e-07"
"2010.1074"," 21.64","2.04e-08"
"2010.1077"," 21.44","5.76e-08"
"2010.1078"," 22.40","7.20e-08"
"2010.1079"," 22.46","6.63e-08"
"2010.1082"," 22.17","1.69e-06"
"2010.1088"," 21.81","4.01e-08"
"2010.1089"," 22.84","1.02e-07"
"2010.1093"," 21.51","4.76e-08"
"2010.1094"," 22.90","5.39e-08"
"2010.1095","-15.86","5.27e-08"
"2010.1096"," 24.97","6.87e-08"
"2010.1096"," 21.67","5.58e-08"
"2010.1096"," 21.06","3.59e-07"
"2010.1098"," 22.57","8.64e-08"
"2010.1103"," 21.17","1.76e-07"
"2010.1103","-20.45","4.63e-08"
"2010.1103","-20.64","6.19e-07"
"2010.1104"," 21.75","7.47e-08"
"2010.1105"," 22.49","1.84e-07"
"2010.1111"," 25.31","2.43e-08"
"2010.1112"," 22.51","6.92e-08"
"2010.1119"," 24.55","2.20e-08"
"2010.1121"," 23.06","7.70e-07"
"2010.1123"," 21.28","6.91e-08"
"2010.1123"," 25.54","6.08e-08"
"2010.1125"," 22.04","2.18e-07"
"2010.1130"," 22.54","1.77e-07"
"2010.1130"," 21.94","3.02e-07"
"2010.1133"," 23.18","5.69e-08"
"2010.1134"," 25.06","6.96e-08"
"2010.1136"," 23.67","4.13e-08"
"2010.1136"," 25.48","4.33e-08"
"2010.1138"," 25.72","6.59e-08"
"2010.1140"," 23.15","6.48e-08"
"2010.1143"," 23.26","1.05e-07"
"2010.1148"," 23.27","8.50e-08"
"2010.1156"," 25.43","6.15e-08"
"2010.1157"," 25.05","4.00e-08"
"2010.1158"," 25.19","5.99e-08"
"2010.1159"," 24.44","6.58e-06"
"2010.1162"," 25.29","4.26e-08"
"2010.1162"," 25.12","6.77e-07"
"2010.1164"," 25.42","9.04e-05"
"2010.1165"," 24.89","4.99e-07"
"2010.1168"," 25.06","2.34e-07"
"2010.1169"," 25.40","2.51e-07"
"2010.1172"," 22.33","3.05e-07"
"2010.1174"," 25.37","7.61e-07"
